id,type,status,location,description,predecessors
1,A,DONE,Master,"Peinture
plafond",
2,A,DONE,Salon,"Peinture
cuisine",
3,F,Ready-Critic,Guest,Coussins,
4,F,DONE,Salon,Poser four,
5,A,DONE,Salon,"Poignées
cuisine",
6,F,DONE,Salon,"Preparer pose
poignées cuisine",5-86
7,F,DONE,Salon,Test peinture cuisine,2-32-6
8,F,DONE,Exter,Automatiser pompe,119
9,F,DONE,Salon,Masquer cuisine,99
10,F,DONE,Salon,Peindre cuisine,9
11,F,DONE,Salon,Test elec. cuisine,
12,F,DONE,Guest,Preparer murs guest,
13,F,DONE,Salon,Mesurer porte colonne,4
14,F,DONE,Master,Preparer murs master,69-67
15,A,DONE,Master,"Peinture
murs master",
16,F,DONE,Master,Peindre plafond,1-94
17,A,DONE,Guest,"Peinture
Guest",
18,A,DONE,Bureau,"Parquet
Bureau",
19,F,DONE,Guest,Peinture guest,17-12
20,F,DONE,Guest,Amenager guest,19-29
21,F,DONE,Guest,Réparer canapé,20-22
22,A,DONE,Guest,Housse canapé,
23,F,Ready,Salon,Finition poignées,115
24,A,DONE,Bureau,Plan de travail,
25,F,DONE,Bureau,Preparer murs bureau,27
26,A,DONE,Bureau,"Peinture
bureau",
27,F,DONE,Bureau,Demonter plinthes,32
28,F,DONE,Bureau,Peindre bureau,26-25-91-56
29,F,DONE,Guest,Preparer penderie Guest,
30,F,DONE,Guest,Poser stores guest,33-19
31,F,TODO,Guest,Deco guest,20-211-3
32,F,DONE,Bureau,Vider bureau,20
33,A,DONE,Guest,Stores guest,
34,F,Ready-Critic,Bureau,Cerclage aquarium,235
35,F,DONE,Bureau,Jambes de suspensions Mitras,235
36,F,DONE,Bureau,Determiner amenagement placard,96
37,F,DONE,Bureau,Test amenagement bureau,127
38,F,DONE,Bureau,Concevoir bilbiotheque,37
39,A,DONE,Bureau,Connectique,
40,F,DONE,Exter,Housse salon,107
41,F,DONE,Bureau,Lumiere placard,202-203-204
42,F,DONE,Salon,Plans placard,46
43,F,DONE,Bureau,Finir plinthes,50
44,F,TODO,Salon,Peindre plafond salon,93-52
45,F,DONE,Bureau,Poser parquet bureau,28-18-56
46,F,DONE,Salon,Vider placard,
47,A,DONE,Bureau,Acheter montants exterieurs,157
48,F,DONE,Exter,Reparer etageres Garage,86
49,F,Ready,Salon,Préparer murs cuisine,
50,F,DONE,Bureau,Fixer caissons nord,96
51,F,TODO,Salon,Peindre murs cuisine,49-52
52,A,ToBuy,Salon,Peinture cuisine,
53,F,Ready-Critic,Salon,Couper plinthes,
54,F,DONE,Bureau,Poser porte placard,28
55,F,DONE,Salon,Poser lumiere cuisine,10-74
56,F,DONE,Bureau,Demonter parquet bureau,32
57,F,DONE,Salon,Porte couteau,146
58,A,DONE,Guest,Aimants pour rideau,
59,F,DONE,Salon,Installer porte colonne,13-61
60,F,DONE,Guest,Poser rideau placard,58-210
61,F,DONE,Exter,Debarrasser Garage,
62,A,TODO,Salon,Evier,63
63,F,Ready-Critic,Salon,Valider changement evier,
64,F,Ready,Salon,Combler plan de travail,103
65,F,TODO,Salon,Poser evier,62-64
66,F,TODO,Salon,Vernir plan de travail,65
67,F,DONE,Master,Vider bibliothèque master,247-250
68,F,DONE,Exter,Faire porte outils,86
69,F,DONE,Master,Transferer bureau,90-212
70,F,DONE,Exter,Reparer branchement aspirateur,61
71,F,TODO,Exter,Fabriquer toupie,95
72,F,Ready,Exter,Réparer degauchisseuse,48
73,F,TODO,Arceus,Faire barre franche,72-71
74,A,DONE,Salon,"Lumiere
cuisine",11
75,F,DONE,Bureau,Test bandeaux bureau,85
76,F,DONE,Exter,Poser panneaux,80-83
77,A,DONE,Guest,Acheter tissus tete de lit,19
78,F,DONE,Guest,Faire tete lit,21-77
79,F,DONE,Exter,Prises etageres Exter,61
80,A,DONE,Exter,Bois french cleats,
81,F,DONE,Exter,Poser prises,76
82,F,DONE,Exter,Couper taquets,80
83,F,DONE,Exter,Passer fils,61
84,F,DONE,Exter,Poser taquets,81-82
85,A,DONE,Bureau,Bandeau blanc,
86,F,DONE,Exter,Ranger Garage,84
87,F,DONE,Exter,Reparer scie,61
88,A,DONE,Salon,Rideaux et tringles,
89,F,DONE,Salon,Poser rideaux,88
90,F,DONE,Bureau,Monter bureau,139-96
91,F,DONE,Bureau,Preparer plafond bureau,32
92,F,DONE,Bureau,"Estimer qualite
plafond bureau",28
93,F,Ready,Salon,Preparer plafond salon,92
94,F,DONE,Master,Preparer plafond master,92-69-67
95,F,Ready-Critic,Exter,Mettre plaque martyr,48
96,F,DONE,Bureau,Precouper top nord,148-178
97,F,DONE,Salon,Demonter cuisine,7
98,F,DONE,Salon,Defoncer portes cuisine,97-59
99,F,DONE,Salon,Nettoyer portes cuisine,98
100,F,DONE,Salon,Peindre dos portes cuisine,99
101,F,DONE,Salon,Peindre verso portes cuisine,100
102,F,DONE,Salon,Retoucher portes cuisine,101
103,F,DONE,Salon,Remonter portes cuisine,111-55-105
104,F,DONE,Salon,Couper renforts poignées,7
105,F,DONE,Salon,Peindre renforts poignées,104-100
106,F,DONE,Exter,Nettoyer Plates bandes,
107,F,DONE,Exter,Nettoyer terrasse,106
108,F,TODO,Guest,Changer moteur volet,109
109,A,TODO,Guest,Moteur volet,110
110,F,Ready-Critic,Guest,Demonter volet,
111,F,DONE,Salon,Vernir portes cuisine,102
112,F,DONE,Exter,Nettoyer Spa,
113,F,DONE,Salon,Tester nouvelles poignées,103
114,A,DONE,Salon,Acheter nouvelles poignées,113
115,F,DONE,Salon,Poser nouvelles poignées,114
116,F,DONE,Salon,Coussin entrée,174
117,F,Ready-Critic,Salon,Recouvrir tabourets,213
118,F,TODO,Salon,Finir lumiere cuisine,51
119,F,DONE,Exter,Reparer vidage spa,
120,F,DONE,Exter,Reparer fuite spa,8
121,F,DONE,Exter,Nettoyer allée,
122,F,DONE,Exter,Tondre,
123,F,TOPRIO,Exter,Nettoyer mur nord,107
124,F,Ready-Critic,Exter,Reparer porte garage,134-133
125,F,Ready-Critic,Exter,Porte ponceuse,48
126,F,Ready-Critic,Exter,Casier a forets,48
127,F,DONE,Bureau,Tester bureau,45
128,F,Ready-Critic,Exter,Porte scies,48
129,F,DONE,Exter,Debarrasser jardin,122-121
130,F,TODO,Salon,Peindre plinthes cuisine,53-103
131,F,DONE,Salon,Imprimante 3D,
132,F,Ready-Critic,Exter,Support disqueuse,48
133,F,DONE,Exter,Top des etablis,86-95
134,F,DONE,Exter,Aspirateur,48
135,F,DONE,Bureau,Monter Aquarium,184-161-180
136,F,DONE,Bureau,Monter montants bibliothèque,50
137,F,DONE,Bureau,Valider vernis,138
138,F,DONE,Bureau,Former Bureau,154-127-24
139,F,DONE,Bureau,Vernir Bureau,137
140,F,DONE,Bureau,Poser premieres plinthes,157
141,F,DONE,Bureau,Vernir etageres,142-39
142,A,DONE,Bureau,Etageres bibliotheque,
143,F,DONE,Bureau,Poser etageres centrales,141-136
144,A,DONE,Bureau,Canapé et tissus,127
145,F,TODO,Salon,Poser plinthes,130-146
146,F,Ready-Critic,Salon,Prises placard,
147,F,DONE,Bureau,Tiroir electrique,207-212-169-233
148,F,DONE,Bureau,Monter caissons nord,153-140-161-135
149,F,DONE,Salon,Peindre portes couloir,45
150,F,TOPRIO,Salon,Peindre plinthes couloir,149-185
151,F,DONE,Bureau,Housse canapé,144
152,F,DONE,Bureau,Poser plafonnier,45
153,A,DONE,Bureau,Acheter caissons nord,38
154,F,DONE,Bureau,Faire platine defonceuse,
155,F,Ready-Critic,Bureau,Plans accoudoirs,151
156,A,DONE,Bureau,Facades caissons,
157,F,DONE,Bureau,Repeindre murs,158
158,F,DONE,Bureau,Correction defauts murs,127
159,A,DONE,Salon,Acheter renfort,
160,F,DONE,Salon,Tapisser placard,161
161,F,DONE,Salon,Passer electricité bureau,42
162,F,DONE,Salon,Vernir grande etagere,163
163,A,DONE,Salon,Acheter grande etagere,42
164,F,DONE,Salon,Poser grande etagere,162-160-166
165,F,TODO,Salon,Finir cuisine,145-23-57
166,F,DONE,Salon,Vernir renfort,159
167,A,DONE,Bureau,Acheter tringle,
168,F,DONE,Salon,Vernir Panneau Internet,190
169,A,DONE,Bureau,Acheter prises,
170,A,DONE,Salon,Acheter etagere basse gauche,164
171,F,DONE,Salon,Vernir etagere basse gauche,170
172,F,DONE,Salon,Poser etagere basse gauche,171-212
173,F,DONE,Salon,Fabriquer porte manteau,
174,F,DONE,Salon,Faire coffre entree,
175,F,DONE,Salon,Poser porte manteau,174-173
176,F,DONE,Salon,Poser miroir,175-177
177,A,DONE,Salon,Miroir entree,
178,F,DONE,Bureau,Peindre facades,156
179,F,DONE,Salon,Tester Osmoseur,181
180,F,DONE,Salon,Faire support jericans,179
181,A,DONE,Salon,Acheter tuyaux osmoseur,
182,F,TODO,Bureau,Faire accoudoirs,155
183,F,DONE,Bureau,Peindre montants exterieurs,47
184,F,DONE,Bureau,Poser montant sud,183
185,A,DONE,Salon,Acheter plinthe couloir,
186,F,DONE,Salon,Vernir coffre,174
187,A,DONE,Salon,Acheter etageres droite,
188,F,DONE,Salon,Vernir etageres droite,191
189,F,Ready-Critic,Salon,Finir osmoseur,179
190,F,DONE,Salon,Couper support internet,164
191,F,DONE,Salon,Couper etagere droite,187
192,F,DONE,Salon,Cabler support internet,168
193,A,DONE,Bureau,Acheter coulisses panneau,
194,F,Ready-Critic,Salon,Finition electricité,233
195,F,DONE,Salon,Faire coffret volets,192
196,F,DONE,Salon,Poser coffret volets,195-197
197,A,DONE,Salon,Acheter interrupteurs volets,
198,F,DONE,Bureau,Poser etageres placard,36
199,F,TOPRIO,Toilettes,Faire Cadre plafond,
200,F,DONE,Bureau,Poser rideaux,167-135
201,F,DONE,Bureau,Poser radiateur,135
202,A,DONE,Bureau,rails lumiere placard,75
203,A,DONE,Bureau,prises connectée,
204,F,DONE,Bureau,Electricité placard,198
205,F,TOPRIO,Toilettes,Faire encadrement niche,
206,F,TOPRIO,Toilettes,Preparer murs,
207,F,DONE,Bureau,Faire plan panneau aquarium,193-135
208,F,DONE,Salon,Ranger placard,209-188
209,F,DONE,Salon,Faire glissieres chaussures,172
210,A,DONE,Guest,Acheter rideaux placard,
211,F,DONE,Guest,Imprimer photos guest,
212,F,DONE,Salon,Passer cables,192
213,F,DONE,Salon,Faire coussin,186
214,F,Ready-Critic,Exter,Poignée spa,120-107
215,F,TODO,Exter,Remonter terrasse Spa,214
216,F,TODO,Exter,Eclairage Spa,215
217,F,DONE,Salon,Tables salon,186
218,F,DONE,Exter,Couverture Spa,120-129
219,F,TODO,Toilettes,Peindre beige,206-225
220,A,DONE,Exter,Caches ampoules,
221,F,TODO,Exter,Toit cabane 1,123
222,F,TODO,Exter,Lumiere cabane 2,123
223,F,DONE,Exter,Remplacer ampoules exterieur,220-224-40
224,A,DONE,Exter,Ampoules exterieur,
225,F,TODO,Toilettes,Poser cadre plafond,199
226,F,TODO,Toilettes,Couper lattes,205
227,F,TODO,Toilettes,Coller lattes,226-228
228,F,TODO,Toilettes,peindre bleu,219-206-205
229,F,PRIO,Toilettes,Finitions,228
230,F,DONE,Bureau,Portes aquarium,
231,F,PRIO,Bureau,KH Director,234
232,F,DONE,Bureau,Contreporte,233-230
233,F,DONE,Salon,Support Bobines 3D,244
234,F,TOPRIO,Bureau,Installer Profilux,232-147
235,F,DONE,Bureau,Installer Mitras,243
236,F,DONE,Bureau,Verifier Osmolateur,147
237,A,DONE,Bureau,Acheter Tympans,136
238,F,DONE,Bureau,Peindre tympans,237
239,F,DONE,Bureau,Monter tympans,238-242
240,F,Ready-Critic,Bureau,Lumiere interieur decante,147
241,F,DONE,Bureau,Poser dernieres etageres,235-143
242,F,DONE,Bureau,Poser supports tympans,241
243,F,DONE,Bureau,Tester montage Mitras,143
244,F,DONE,Salon,Poser Multiboard,208-131
245,F,DONE,Bureau,Poser lampe centrale,239
246,F,DONE,Bureau,Finiton tympans,239
247,F,DONE,Bureau,Photo résultat,245-246-43
248,F,Ready-Critic,Bureau,Refaire casquettes,247
249,F,DONE,Bureau,Reglage mitras,235
250,F,DONE,Master,Photo Avant,
251,F,DONE,Master,Vider placard,256
252,F,DONE,Master,Tapisser placard,251
253,A,DONE,Master,Acheter etagere,
254,F,DONE,Master,Passer electricité placard,251
255,F,DONE,Master,Mesurer position montant,250
256,F,DONE,Master,Démonter portes placard,255
257,F,DONE,Master,Poser tasseaux placard,258-252-254
258,F,DONE,Master,Préparer tasseaux placard,253
259,F,DONE,Master,Poser Etagère principale,257-268-267
260,F,DONE,Master,Poser montant,259
261,F,DONE,Master,Poser tringles hautes,280
262,F,DONE,Master,Poser tringle droite,276
263,F,DONE,Master,Poser étagère basse gauche,277
264,A,DONE,Master,Revètement sol,
